                              1 ;--------------------------------------------------------
                              2 ; File Created by SDCC : free open source ANSI-C Compiler
                              3 ; Version 3.6.8 #9946 (Linux)
                              4 ;--------------------------------------------------------
                              5 	.module pixels
                              6 	.optsdcc -mz80
                              7 	
                              8 ;--------------------------------------------------------
                              9 ; Public variables in this module
                             10 ;--------------------------------------------------------
                             11 	.globl _g_pixels_255
                             12 	.globl _g_pixels_254
                             13 	.globl _g_pixels_253
                             14 	.globl _g_pixels_252
                             15 	.globl _g_pixels_251
                             16 	.globl _g_pixels_250
                             17 	.globl _g_pixels_249
                             18 	.globl _g_pixels_248
                             19 	.globl _g_pixels_247
                             20 	.globl _g_pixels_246
                             21 	.globl _g_pixels_245
                             22 	.globl _g_pixels_244
                             23 	.globl _g_pixels_243
                             24 	.globl _g_pixels_242
                             25 	.globl _g_pixels_241
                             26 	.globl _g_pixels_240
                             27 	.globl _g_pixels_239
                             28 	.globl _g_pixels_238
                             29 	.globl _g_pixels_237
                             30 	.globl _g_pixels_236
                             31 	.globl _g_pixels_235
                             32 	.globl _g_pixels_234
                             33 	.globl _g_pixels_233
                             34 	.globl _g_pixels_232
                             35 	.globl _g_pixels_231
                             36 	.globl _g_pixels_230
                             37 	.globl _g_pixels_229
                             38 	.globl _g_pixels_228
                             39 	.globl _g_pixels_227
                             40 	.globl _g_pixels_226
                             41 	.globl _g_pixels_225
                             42 	.globl _g_pixels_224
                             43 	.globl _g_pixels_223
                             44 	.globl _g_pixels_222
                             45 	.globl _g_pixels_221
                             46 	.globl _g_pixels_220
                             47 	.globl _g_pixels_219
                             48 	.globl _g_pixels_218
                             49 	.globl _g_pixels_217
                             50 	.globl _g_pixels_216
                             51 	.globl _g_pixels_215
                             52 	.globl _g_pixels_214
                             53 	.globl _g_pixels_213
                             54 	.globl _g_pixels_212
                             55 	.globl _g_pixels_211
                             56 	.globl _g_pixels_210
                             57 	.globl _g_pixels_209
                             58 	.globl _g_pixels_208
                             59 	.globl _g_pixels_207
                             60 	.globl _g_pixels_206
                             61 	.globl _g_pixels_205
                             62 	.globl _g_pixels_204
                             63 	.globl _g_pixels_203
                             64 	.globl _g_pixels_202
                             65 	.globl _g_pixels_201
                             66 	.globl _g_pixels_200
                             67 	.globl _g_pixels_199
                             68 	.globl _g_pixels_198
                             69 	.globl _g_pixels_197
                             70 	.globl _g_pixels_196
                             71 	.globl _g_pixels_195
                             72 	.globl _g_pixels_194
                             73 	.globl _g_pixels_193
                             74 	.globl _g_pixels_192
                             75 	.globl _g_pixels_191
                             76 	.globl _g_pixels_190
                             77 	.globl _g_pixels_189
                             78 	.globl _g_pixels_188
                             79 	.globl _g_pixels_187
                             80 	.globl _g_pixels_186
                             81 	.globl _g_pixels_185
                             82 	.globl _g_pixels_184
                             83 	.globl _g_pixels_183
                             84 	.globl _g_pixels_182
                             85 	.globl _g_pixels_181
                             86 	.globl _g_pixels_180
                             87 	.globl _g_pixels_179
                             88 	.globl _g_pixels_178
                             89 	.globl _g_pixels_177
                             90 	.globl _g_pixels_176
                             91 	.globl _g_pixels_175
                             92 	.globl _g_pixels_174
                             93 	.globl _g_pixels_173
                             94 	.globl _g_pixels_172
                             95 	.globl _g_pixels_171
                             96 	.globl _g_pixels_170
                             97 	.globl _g_pixels_169
                             98 	.globl _g_pixels_168
                             99 	.globl _g_pixels_167
                            100 	.globl _g_pixels_166
                            101 	.globl _g_pixels_165
                            102 	.globl _g_pixels_164
                            103 	.globl _g_pixels_163
                            104 	.globl _g_pixels_162
                            105 	.globl _g_pixels_161
                            106 	.globl _g_pixels_160
                            107 	.globl _g_pixels_159
                            108 	.globl _g_pixels_158
                            109 	.globl _g_pixels_157
                            110 	.globl _g_pixels_156
                            111 	.globl _g_pixels_155
                            112 	.globl _g_pixels_154
                            113 	.globl _g_pixels_153
                            114 	.globl _g_pixels_152
                            115 	.globl _g_pixels_151
                            116 	.globl _g_pixels_150
                            117 	.globl _g_pixels_149
                            118 	.globl _g_pixels_148
                            119 	.globl _g_pixels_147
